Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Djibouti,NA,42.00,40.80,38.20,34.70,31.30,27.30,25.10,23.40,23.10,22.40,21.30,19.80,17.80,15.70,14.20,13.60,13.50,13.10,13.10,13.50,NA,NA
Dominica,NA,3.70,4.10,4.70,5.00,5.40,5.00,4.60,4.10,4.50,4.80,5.20,5.40,5.50,5.30,5.30,5.40,5.70,5.70,6.50,6.90,NA,NA
Denmark,NA,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,NA,NA
Dominican Republic,NA,20.40,22.60,23.60,23.00,19.20,16.40,16.20,16.00,15.20,13.00,11.10,9.80,8.80,8.20,7.40,6.80,6.20,6.10,7.00,6.70,NA,NA
Algeria,NA,8.00,7.30,7.00,7.00,6.70,6.40,5.90,5.60,5.10,4.30,3.80,3.20,3.00,2.90,2.80,2.80,2.70,2.50,2.50,2.50,NA,NA
Ecuador,NA,21.00,22.70,22.70,22.70,22.40,22.80,22.10,21.30,16.00,12.30,8.40,8.80,8.80,8.70,9.00,9.70,10.70,11.60,13.70,15.40,NA,NA
"Egypt, Arab Rep.",NA,5.20,5.40,6.00,6.40,6.40,6.00,5.70,5.60,4.90,4.50,3.80,4.00,4.10,4.20,4.40,4.60,4.90,4.90,5.00,5.10,NA,NA
Eritrea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spain,NA,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,NA,NA
Estonia,NA,3.60,3.50,3.30,2.90,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,NA,NA
Ethiopia,NA,47.00,44.20,42.60,39.00,37.10,35.60,35.00,33.50,28.50,24.70,20.90,19.40,17.70,15.90,14.80,14.40,15.70,18.20,21.90,24.90,NA,NA
Finland,NA,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,NA,NA
Fiji,NA,4.00,3.80,3.90,3.80,3.70,3.70,3.70,3.90,4.80,5.60,6.60,6.50,6.70,6.30,6.50,6.30,6.20,5.50,4.90,5.70,NA,NA
France,NA,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,NA,NA
Faroe Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Micronesia, Fed. Sts.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gabon,NA,10.70,12.10,13.30,13.90,14.30,14.80,15.90,16.80,16.30,14.70,13.10,12.80,12.90,13.30,13.90,15.10,16.10,17.00,16.60,17.20,NA,NA
United Kingdom,NA,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,NA,NA
Georgia,NA,7.70,5.90,4.80,4.10,4.10,4.00,4.00,3.60,5.00,6.70,8.20,7.80,7.90,7.90,8.10,8.30,8.10,7.80,7.80,7.60,NA,NA
Ghana,NA,14.90,13.50,12.60,12.20,11.20,10.60,9.40,8.20,6.60,6.10,6.10,6.40,6.60,7.10,7.70,7.70,7.10,6.20,5.20,4.10,NA,NA
Gibraltar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Guinea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gambia, The",NA,17.80,19.60,20.50,20.70,21.70,20.70,18.70,15.80,12.80,10.40,8.70,9.10,9.80,10.50,11.00,11.60,12.20,13.10,18.00,21.60,NA,NA
Guinea-Bissau,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Equatorial Guinea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Greece,NA,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,NA,NA
